 Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max,Fwd Packets/s,Label,Appear Frequncy
1,1,49,81,49,32.410708500000005,BENIGN,Frequent
51,75,3426,118818,439,0.439888127,BENIGN,Infrequent
2,0,12,0,6,1668.0567139282998,BENIGN,Frequent
9,6,391,4488,204,1.654402945,BENIGN,Frequent
1,1,49,199,49,21.30016188,BENIGN,Infrequent
2,2,54,216,27,63.39546089,BENIGN,Infrequent
1,1,89,170,89,7.470826422999999,BENIGN,Infrequent
10,5,720,1295,469,35.9921968917,BENIGN,Infrequent
1,1,44,105,44,16.61488361,BENIGN,Infrequent
3,5,432,2278,426,45.7393770297,BENIGN,Infrequent
4,2,124,222,31,63.735878519399996,BENIGN,Infrequent
47,45,755,48821,367,0.4052314029,BENIGN,Infrequent
6,9,12982,56,7215,0.073252333,BENIGN,Infrequent
2,1,12,6,6,0.0653079863,BENIGN,Infrequent
2,2,86,220,43,24.95445811,BENIGN,Infrequent
3,3,0,0,0,0.8790788890000001,BENIGN,Infrequent
18,13,925,7943,329,51.39846661,BENIGN,Infrequent
14,11,1187,7431,544,36.14834247,BENIGN,Infrequent
5,5,432,1806,432,0.295746042,BENIGN,Infrequent
8,7,390,5046,234,1.5004052032,BENIGN,Infrequent
3,1,0,0,0,0.517079569,BENIGN,Frequent
23,19,2670,4788,429,0.197072424,BENIGN,Frequent
2,2,2944,624,1472,2109.704641,BENIGN,Infrequent
2,2,126,224,82,0.053588027999999996,BENIGN,Infrequent
1,1,0,0,0,17.26340503,BENIGN,Infrequent
2,2,86,192,43,53.78802141,BENIGN,Infrequent
2,2,70,102,35,8298.755186721999,BENIGN,Infrequent
8,5,551,3557,198,60.61800052,BENIGN,Frequent
1,1,0,0,0,41.5731271306,BENIGN,Infrequent
21,25,1263,43949,568,208.82847230000002,BENIGN,Infrequent
2,0,12,0,6,10.14533188,BENIGN,Infrequent
1,1,51,79,51,40.44652969,BENIGN,Infrequent
1,1,0,0,0,40.62893593,BENIGN,Infrequent
2,1,0,0,0,21.43025523,BENIGN,Infrequent
1,1,51,67,51,16.6900327125,BENIGN,Infrequent
11,12,3466,8453,1677,1.087054486,BENIGN,Infrequent
22,13,2986,6356,1305,0.1837248111,BENIGN,Infrequent
1,1,60,76,60,20.10575628,BENIGN,Infrequent
3,3,144,417,50,0.1732933565,BENIGN,Infrequent
16,17,392,6720,193,2.672027199,BENIGN,Infrequent
3,1,12,0,6,0.596047016,BENIGN,Infrequent
2,2,70,192,35,14.77301266,BENIGN,Frequent
1,1,47,79,47,42.98856504,BENIGN,Infrequent
1,1,54,70,54,32.804093950900004,BENIGN,Frequent
2,2,76,272,38,23.7377453889,BENIGN,Infrequent
42,31,14222,9411,921,0.367330073,BENIGN,Infrequent
8,6,374,4873,193,1.40406695,BENIGN,Infrequent
1,1,61,122,61,3.0390795236000003,BENIGN,Infrequent
13,13,587,4094,201,0.110424883,BENIGN,Infrequent
1,1,48,48,48,23.2072406591,BENIGN,Infrequent
2,0,0,0,0,13.42462075,BENIGN,Infrequent
2,2,122,267,65,0.612613153,BENIGN,Infrequent
3,5,2538,153,2538,27.84920583,BENIGN,Infrequent
28,20,3496,6368,437,0.252867246,BENIGN,Infrequent
25,25,700,17513,337,0.2170964741,BENIGN,Infrequent
5,1,117,41,45,1.260179732,BENIGN,Infrequent
2,2,82,114,41,83.58059259,BENIGN,Infrequent
1,1,53,166,53,21.76325927,BENIGN,Infrequent
5,1,135,46,46,1.202775428,BENIGN,Infrequent
1,1,46,100,46,16.00947761,BENIGN,Infrequent
1,1,0,0,0,42.894522369499995,BENIGN,Infrequent
2,2,104,212,52,10362.6943005181,BENIGN,Infrequent
1,1,56,116,56,32.12438562,BENIGN,Infrequent
8,5,349,2963,192,1.4424144859999999,BENIGN,Infrequent
2,2,70,254,35,23.9100027497,BENIGN,Infrequent
6,4,240,488,44,2.360006388,BENIGN,Infrequent
3,0,384,0,384,20.9769672899,BENIGN,Frequent
1,1,0,0,0,65.90220113,BENIGN,Infrequent
10,7,932,5036,501,2.1917789,BENIGN,Infrequent
2,0,46,0,46,23529.41176,BENIGN,Infrequent
2,2,72,376,36,40.88140305,BENIGN,Infrequent
2,2,96,96,48,0.0302700383,BENIGN,Infrequent
2,2,62,424,31,32.43067942,BENIGN,Infrequent
2,2,78,260,39,14.03695931,BENIGN,Infrequent
11,10,2335,4452,1125,36.449428075300006,BENIGN,Infrequent
1,1,0,0,0,5.281950519,BENIGN,Infrequent
1,1,58,74,58,42.5043567,BENIGN,Infrequent
18,15,944,1498,427,0.151806564,BENIGN,Infrequent
5,3,30,159,6,23.75714496,BENIGN,Infrequent
2,1,37,6,37,9174.3119266055,BENIGN,Infrequent
3,1,50,6,38,386.7973182,BENIGN,Infrequent
14,12,932,5385,693,47.85850292,BENIGN,Frequent
2,2,96,128,48,13605.442180000002,BENIGN,Infrequent
22,18,791,6951,436,0.190838648,BENIGN,Infrequent
2,2,66,120,33,15.01287354,BENIGN,Infrequent
5,1,135,46,46,1.297530825,BENIGN,Infrequent
2,2,0,213,0,0.392032335,BENIGN,Frequent
3,0,43,0,31,27.69034807,BENIGN,Infrequent
2,2,80,336,40,5405.4054049999995,BENIGN,Infrequent
5,1,135,46,46,1.034257932,BENIGN,Frequent
8,8,439,796,435,0.177338188,BENIGN,Infrequent
5,0,538,0,501,1.167846113,BENIGN,Infrequent
